entity,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
Australia,Canberra,Sydney,Llama-2-13b-hf,1,has_competitor,4.4570684,4.808482,1.0,0.029411764705882353,-1.5291243,-5.8419156,2.5684826999999997,-3.74477,187.3579372,15,5.4512203,5.4512203,0.725,13.336825009176232,27,182.80497329999997,1,74.3538472,38.108292000000006,27,110.69986223665464,73.73996557516737,35
Brazil,Brasilia,Rio de Janeiro,Llama-2-13b-hf,2,has_competitor,4.7704687,4.596788,0.2,0.003937007874015748,-3.3304672,-8.347641,-0.06900860000000009,-1.715439299999999,206.0830042,11,3.5859303999999987,3.5811174,1.0,2.9468734201994824,25,327.629426,15,9.54693,49.455045,7,35.15405380303425,32.26860264552898,24
Canada,Ottawa,Toronto,Llama-2-13b-hf,3,has_competitor,4.6833816,4.5709643,1.0,0.02040816326530612,-1.4631164,-6.3592014,4.031935000000001,-3.8961834,194.6369833,15,5.252932599999999,5.252932599999999,0.6,12.582131092647238,38,249.36492538000002,15,80.68797142,44.650822000000005,19,84.95623717745016,32.906005388141395,31
India,New Delhi,Mumbai,Llama-2-13b-hf,4,has_competitor,4.8071804,5.4009,1.0,0.047619047619047616,-2.1762867,-5.160825,5.5261297,2.180664,215.65083149999998,31,3.4403367000000005,1.3208694000000003,0.325,5.359340787472737,32,232.3719216,0,84.09809840000003,12.7646486,2,99.95246081599059,19.492394183164226,31
Morrocco,Rabat,Marrakesh,Llama-2-13b-hf,5,has_competitor,5.009427,4.957938,0.3333333333333333,0.0010416666666666667,-2.684,-9.802717,0.8462315,-2.37395,204.9474043,27,5.7173739999999995,2.4441964,1.0,1.8525590532360683,38,325.0980312,3,5.6358262,66.5384195,3,49.33889805061991,49.73345219047251,22
New Zealand,Wellington,Auckland,Llama-2-13b-hf,6,has_competitor,4.494942,5.1661363,1.0,0.004273504273504274,-1.6412513,-8.107473,3.2462807000000002,-1.6992174000000002,180.46642884,32,4.380016,4.380016,0.6,12.802840881606908,26,229.34791518,26,66.09568872,53.883990299999994,32,124.91871294291583,62.5394766610996,32
Pakistan,Islamabad,Karachi,Llama-2-13b-hf,7,has_competitor,4.542474,6.09468,1.0,0.009174311926605505,-1.35702,-7.1129055,4.267231000000001,-0.4968975000000002,216.0616703,30,1.1778330000000015,1.0148779999999995,0.6,8.927930508159298,30,238.2585206,15,58.077708200000004,8.0490271,30,99.85154889055548,29.385285551551203,30
South Africa,Pretoria,Johannesburg,Llama-2-13b-hf,8,has_competitor,4.741691,4.372374,0.09090909090909091,0.002,-4.407199,-9.355888,-1.1672824000000004,-4.5120417,199.5590512,11,4.964498,4.964498,1.0,0.6241019435034738,33,303.2217582,0,66.93354429999998,82.82938499999999,0,105.78471237872154,111.15392294293733,35
Switzerland,Bern,Zurich,Llama-2-13b-hf,9,has_competitor,4.7587576,5.28646,0.2,0.0019305019305019305,-3.0559065,-8.971498,1.2665104999999999,-2.8695780000000006,203.55274719999997,22,5.9071081,5.9071081,0.85,1.4113020671537202,37,316.6533835,23,32.48135099999999,48.856721300000004,7,54.05292569734334,54.65323834925577,37
Turkey,Ankara,Istanbul,Llama-2-13b-hf,10,has_competitor,4.5924997,4.9739237,0.5,0.05,-2.3259015,-5.174951,1.0293065000000001,0.03111469999999983,201.4610423,16,3.9077614999999994,2.5697616,0.9,5.416360777840524,34,226.44393712,34,47.25792748,27.1985036,7,119.86589072042327,86.70264988170945,34
United Arab Emirates,Abu Dhabi,Dubai,Llama-2-13b-hf,11,has_competitor,4.3477044,5.099619,1.0,0.017241379310344827,-1.7243537,-6.366209,1.6992748999999998,-1.7652205999999993,187.29026136,33,3.5507315,3.5507315,0.725,10.797950027455911,27,225.487279785,33,48.86562821500001,21.651271899999994,33,120.17761740996693,64.59404769197339,33
Alabama,Montgomery,Birmingham,Llama-2-13b-hf,12,has_competitor,4.139369,4.7381954,1.0,0.0019455252918287938,-1.5047098,-9.218173,2.7488081999999996,-3.1241026000000005,198.8587846,11,4.623699,4.623699,0.875,2.274833097172972,38,311.9980784,1,10.651437000000001,87.78629040000001,37,54.744672607499126,43.39901439497274,37
Alaska,Juneau,Anchorage,Llama-2-13b-hf,13,has_competitor,4.7171936,5.107634,1.0,0.0014619883040935672,-2.0847752,-9.411627,1.5179204999999998,-4.7418214999999995,211.6591237,12,6.6596815000000005,6.6596815000000005,0.975,2.5191942985312177,37,311.8904077,29,9.282123299999999,112.3391714,37,62.57991000841086,94.33854345768445,37
California,Sacramento,Los Angeles,Llama-2-13b-hf,14,has_competitor,4.80943,5.006053,0.3333333333333333,0.017241379310344827,-2.5335696,-6.455604,3.5540484,-2.6931168000000003,208.4861935,11,4.304544300000001,3.816558399999999,0.6,8.880309610977367,31,246.07068800000002,15,61.668348900000005,47.9912944,11,84.02348325000685,28.823424354619082,26
Connecticut,Hartford,Bridgeport,Llama-2-13b-hf,15,has_competitor,4.0419445,5.624322,1.0,0.02040816326530612,-1.1602197,-6.3038425,7.4558483,3.5667845000000007,183.9283715,20,0.08790100000000045,0.08790100000000045,0.3,18.593790780199207,21,210.55010811,20,216.70664389,0.1309559999999994,31,131.90363731687208,17.095722999192603,31
Delaware,Dover,Wilmington,Llama-2-13b-hf,16,has_competitor,3.6433153,5.8098536,1.0,0.05555555555555555,-1.0937204,-5.1970525,2.2916928,2.4588755000000004,190.64888526,34,4.1351107,4.1351107,0.9,7.589088105586251,34,188.69574511000002,34,107.85535558999999,30.89365923,34,126.33999002207142,73.66159865227688,34
Florida,Tallahassee,Jacksonville,Llama-2-13b-hf,17,has_competitor,4.5344834,4.7294064,1.0,0.007692307692307693,-2.0032494,-7.551991,3.4616053,1.7946710000000001,201.6008544,11,0.39239900000000016,0.39239900000000016,0.625,4.756723399024054,35,236.55699449999997,35,99.19659709999999,0.5207582999999998,33,126.61860450369781,55.76546401007692,35
Illinois,Springfield,Chicago,Llama-2-13b-hf,18,has_competitor,4.4775577,4.722987,0.16666666666666666,0.0020964360587002098,-3.1365955,-9.12805,-0.9709338999999999,-6.9073834000000005,200.7011334,17,11.0129925,11.0129925,1.0,0.7886821209039776,38,341.20050760000004,18,5.213053800000003,119.72362607000001,18,71.81758889329127,120.5396558883961,30
Kansas,Topeka,Wichita,Llama-2-13b-hf,19,has_competitor,4.506467,5.408248,0.5,0.004366812227074236,-2.0806503,-7.9506235,2.0504177,-1.1316365,199.55659065,22,2.6943379999999992,2.6943379999999992,0.6,6.9138593985338135,34,247.52361625199998,23,44.699198248,36.06264139999999,35,80.49853094259547,34.68188063611798,35
Kentucky,Frankfort,Louisville,Llama-2-13b-hf,20,has_competitor,4.594304,5.4256973,1.0,0.0007892659826361484,-2.0475268,-9.963776,0.5084,-3.0328459999999993,211.5280671,11,5.8985634000000005,5.8985634000000005,0.975,2.4730664047011057,38,336.23472719999995,15,7.759427400000002,100.06698069999999,37,63.68371268477737,67.62509077546072,37
Louisiana,Baton Rouge,New Orleans,Llama-2-13b-hf,21,has_competitor,4.592992,4.914297,0.25,0.001968503937007874,-2.6776323,-9.109503,-0.3839790999999999,-4.3441994,208.780392,11,6.388917900000001,6.388917900000001,1.0,1.7261918365262716,37,336.75244439999994,15,0.14981519999999993,126.38246919999999,15,40.74143339817552,83.33607518931784,25
Maine,Augusta,Portland,Llama-2-13b-hf,22,has_competitor,4.193265,5.3451138,1.0,0.003134796238244514,-1.7805239,-8.39175,0.34905410000000003,-3.2584929999999996,201.13395630000002,20,7.602980200000001,7.602980200000001,0.975,2.679925419104178,37,288.57959089999997,37,41.8787837,85.5822557,37,63.73355268184066,81.46688108676675,37
Maryland,Annapolis,Baltimore,Llama-2-13b-hf,23,has_competitor,4.402998,4.936081,1.0,0.005747126436781609,-1.7734436,-7.8549714,1.2173386999999998,-3.7401294,198.18890270000003,11,5.406647,5.406647,0.775,5.833537978318282,33,276.40615379999997,31,51.20794939999999,43.2306811,23,81.6078306848993,87.62221884194572,36
Michigan,Lansing,Detroit,Llama-2-13b-hf,24,has_competitor,4.518204,5.334815,0.5,0.004739336492890996,-2.0552394,-7.8809147,1.8740720999999998,-3.3602381,211.16693659999999,22,6.422869950000001,6.422869950000001,0.85,2.452912165609521,38,248.2196088,0,60.869497900000006,36.95900595000001,23,114.50506860131976,105.47453235207769,36
Minnesota,St. Paul,Minneapolis,Llama-2-13b-hf,25,has_competitor,4.4894166,5.1806264,0.25,0.009708737864077669,-2.8616838,-6.9740944,-0.4123096000000004,-0.024643000000000193,202.602525,23,6.0785121,6.0785121,1.0,1.2411381419302556,38,272.1328345,38,27.213484500000007,57.657397,35,61.18773804662378,88.01653192289827,35
Montana,Helena,Billings,Llama-2-13b-hf,26,has_competitor,4.364437,5.7157984,1.0,0.00021800741225201656,-1.5629836,-11.504613,2.9886474000000005,-2.3873510000000007,199.3030368,33,2.550426999999999,2.550426999999999,0.55,4.957415482692868,33,292.17973725499996,33,81.90757044499999,14.294665499999997,33,106.96219620726492,27.52220274203417,33
Nebraska,Lincoln,Omaha,Llama-2-13b-hf,27,has_competitor,3.9630446,5.574172,1.0,0.003355704697986577,-1.3138899,-8.269666,1.7373954,-1.370924800000001,207.2255272,11,6.629334000000001,6.629334000000001,0.975,3.4469338641512026,38,297.27202009999996,20,9.418719900000001,84.87334319999998,18,80.64649849676728,84.60425755018028,31
Nevada,Carson City,Las Vegas,Llama-2-13b-hf,28,has_competitor,4.604971,5.1770782,0.5,0.011904761904761904,-2.2309115,-6.9159503,0.8704060999999998,-1.5886403000000007,190.4360635,20,8.7705053,8.7705053,0.875,4.9693093445239676,33,250.01447206,33,45.473556939999995,80.86770204,33,117.00682351115921,118.07279414370458,33
New Hampshire,Concord,Manchester,Llama-2-13b-hf,29,has_competitor,4.2344255,6.0376906,1.0,0.0034129692832764505,-1.3904836,-8.143993,2.9542229,-1.4209147,197.79082353999996,32,1.424347,1.424347,0.6,8.80235530852876,32,244.211784995,27,110.91513910500001,6.027351899999999,32,112.59304453413708,37.73828183462724,32
New Jersey,Trenton,Newark,Llama-2-13b-hf,30,has_competitor,4.1168194,5.1555834,1.0,0.00048661800486618007,-1.2414562,-10.694367,2.8986061000000003,-7.140376399999999,196.6389236,21,8.571253239999999,8.571253239999999,0.775,7.803884703487346,31,283.88578446,27,26.38286324,125.63690854,27,83.96220135295034,82.48748893981926,27
New Mexico,Santa Fe,Albuquerque,Llama-2-13b-hf,31,has_competitor,4.5066175,5.0316763,1.0,0.0017730496453900709,-1.8060919,-9.136118,2.1012839000000003,-2.268491,200.5171423,20,5.362469,5.147267,0.85,3.6649099155915605,38,292.5998271,20,9.572787400000001,65.8124355,20,71.57382542996427,62.87473623317014,33
New York,Albany,New York,Llama-2-13b-hf,32,has_competitor,4.969407,5.189634,1.0,0.007462686567164179,-2.0831337,-7.4625635,0.6962193999999999,-4.8390845,233.8969876,26,4.8390845,4.8390845,0.975,4.753484142373129,38,276.0797907,16,2.0417240000000003,98.62954110000003,27,45.22396048110072,75.99033771440602,25
North Carolina,Raleigh,Charlotte,Llama-2-13b-hf,33,has_competitor,4.525672,4.8403454,0.3333333333333333,0.005988023952095809,-2.2708056,-7.770631,2.8609406999999996,-1.5184322999999997,199.3630432,11,3.8071171999999995,3.8071171999999995,0.85,5.457825745168684,33,232.10962174000002,27,67.90658245999998,28.1275902,32,144.71487067435976,103.18353840589465,33
North Dakota,Bismarck,Fargo,Llama-2-13b-hf,34,has_competitor,3.953837,6.0019894,1.0,0.02040816326530612,-1.1976445,-6.26612,4.5715148,1.0621995000000002,203.97445812,35,0.7384840000000006,0.7384840000000006,0.75,6.635250867121112,35,205.44194919300003,35,53.294908207,3.184337300000002,35,76.9270228048505,21.340487423861507,35
Oregon,Salem,Portland,Llama-2-13b-hf,35,has_competitor,4.6501412,5.252018,0.25,0.004081632653061225,-2.948175,-8.105289,-0.761571,-3.335854000000001,199.96576703,21,9.29780626,9.29780626,1.0,1.7810905858062207,34,262.7976959,1,45.94596150000001,93.87227019999997,1,90.07992456311989,103.49171531926932,34
Pennsylvania,Harrisburg,Philadelphia,Llama-2-13b-hf,36,has_competitor,4.525099,4.7728724,0.3333333333333333,0.02564102564102564,-2.453701,-6.2347965,1.6360965000000003,0.28410009999999986,202.3954664,11,3.291503,3.291503,0.7,3.6455282279848165,31,275.9561544,25,23.6511254,23.179783,23,61.48010997610058,49.084997806610694,28
South Dakota,Pierre,Sioux Falls,Llama-2-13b-hf,37,has_competitor,4.547201,5.653452,0.5,0.0010799136069114472,-2.0745742,-9.468043,1.362943,-0.3619430000000001,211.2361707,12,3.467772,2.1213154000000003,0.8,2.7638815912285466,38,310.0018281,4,15.3103173,27.7783701,4,45.74350318648139,44.961820233179694,26
Texas,Austin,Houston,Llama-2-13b-hf,38,has_competitor,4.5948954,4.100959,0.3333333333333333,0.5,-2.3760543,-2.0306604,3.9454241000000003,1.0215053000000003,186.11226514999998,20,2.1861258999999995,2.1861258999999995,0.5,15.075453068424288,31,189.50603615,15,125.52503864999997,5.932244699999997,20,102.4139498911682,25.25944796407013,31
Vermont,Montpelier,Burlington,Llama-2-13b-hf,39,has_competitor,3.7365596,5.923805,1.0,0.003355704697986577,-1.0209789,-8.155791,3.8988046999999995,0.014937999999999008,210.052258,11,4.667991,4.667991,0.85,3.2553336683334027,38,284.8141065,1,27.8387624,19.6534719,28,79.80075897185768,49.61895859061873,37
Virginia,Richmond,Virginia Beach,Llama-2-13b-hf,40,has_competitor,4.820416,4.593092,0.3333333333333333,0.03571428571428571,-2.3295681,-5.8053217,3.0058783000000004,-0.5516214000000002,207.8653605,11,1.8454283,1.8454283,0.575,8.545455727895998,31,246.81727915,15,54.44500005,13.474196000000003,1,54.956746276899274,30.80248382729529,25
Washington,Olympia,Seattle,Llama-2-13b-hf,41,has_competitor,4.858656,3.5595796,0.3333333333333333,0.0037735849056603774,-2.8712945,-9.005387,0.13026209999999994,-4.763739300000001,195.36142698,20,6.236467,6.236467,0.925,1.344062541874262,38,322.88091810000003,0,3.932183599999997,69.52340910000001,1,48.72336558165431,72.21434145490906,26
Wisconsin,Madison,Milwaukee,Llama-2-13b-hf,42,has_competitor,4.07873,5.1870136,1.0,0.0035971223021582736,-1.2615626,-8.253246,3.6638037999999997,-0.1635200000000001,200.0095012,33,1.3239800000000006,1.3239800000000006,0.525,6.74864674390056,33,238.22200300999998,22,79.42736019000002,7.0472633,33,89.57892092877343,15.175040157011313,33
Austria,Vienna,Graz,Llama-2-13b-hf,43,no_competitor,4.3826275,4.421246,0.3333333333333333,0.013888888888888888,-2.5512571,-6.915411,7.836862900000001,3.468298,194.1199872,16,4.349463,4.128531000000001,0.425,3.096772023053166,38,299.78821370000003,15,126.67056079999999,45.0116175,15,134.23839355812254,35.42170622653778,21
Egypt,Cairo,Alexandria,Llama-2-13b-hf,44,no_competitor,4.751303,4.731634,0.3333333333333333,0.00847457627118644,-2.326146,-7.369269,5.024163400000001,0.8535875000000006,200.92317010000002,33,0.0,0.0,0.025,6.378032743670504,33,227.53681966000002,33,160.53618704000002,0.0,33,151.22604289186714,45.82708989119282,33
France,Paris,Marseille,Llama-2-13b-hf,45,no_competitor,4.6375446,3.813532,0.2,1.0,-3.331358,-1.2198821,7.003038,9.8899539,203.0294525,16,0.01922400000000124,0.0,0.1,8.86286001646839,15,216.3311276,15,254.79449840000004,0.01922400000000124,15,119.80521527436998,1.3947720640919896,31
Germany,Berlin,Hamburg,Llama-2-13b-hf,46,no_competitor,4.548551,4.665679,0.5,0.25,-2.142517,-2.7865796,6.010459000000001,4.4883118,203.53674230000001,16,3.7491495000000006,3.7491495000000006,0.425,6.86729861410249,31,240.0728558,15,129.3678872,20.6625323,15,110.72229860569722,14.054901172501165,31
Italy,Rome,Milan,Llama-2-13b-hf,47,no_competitor,4.3537025,4.4281073,0.5,0.09090909090909091,-1.9968972,-4.819741,5.8923798,4.351598,194.7963022,16,0.2462939999999989,0.2462939999999989,0.375,7.5214095657081685,31,235.2664878,15,167.5661367,0.2462939999999989,16,93.79450401349833,8.744578648640141,21
Japan,Tokyo,Yokohama,Llama-2-13b-hf,48,no_competitor,4.5060005,2.1894515,0.5,1.0,-2.225933,-0.45123032,6.005514,9.056572679999999,187.6069555,22,3.791594,2.821199000000001,0.375,15.055177579167601,17,196.63465192,15,161.76549088000002,29.3826205,15,157.07631033572832,40.39334030039423,15
Korea,Seoul,Busan,Llama-2-13b-hf,49,no_competitor,4.7623305,4.4771576,1.0,0.0030581039755351682,-1.9852806,-8.707925,5.7626754,0.11397499999999994,194.62132744000002,34,1.3407909999999994,0.35747199999999957,0.475,8.920318676689368,32,249.311449983,27,136.597886317,1.763469999999998,34,136.95977338801237,22.24830870871864,34
Russia,Moscow,Saint Petersburg,Llama-2-13b-hf,50,no_competitor,4.6129904,4.3747845,0.3333333333333333,0.14285714285714285,-2.3454895,-3.6537938,4.465282500000001,4.5138492,204.4807333,16,1.153462000000001,0.17255399999999987,0.35,6.149201928504571,22,227.7408387,15,138.7733557,2.623565000000003,15,112.94527510374303,26.70950693641298,24
Spain,Madrid,Barcelona,Llama-2-13b-hf,51,no_competitor,4.350487,4.138799,0.2,0.09090909090909091,-2.9720156,-4.331474,2.8461034,1.6114796,195.0111492,11,3.149825,0.8252430000000004,0.375,5.480828415427856,22,261.3974512,15,91.32737580000001,14.849837500000001,3,69.9141284335233,8.937617115378828,20
Sweden,Stockholm,Gothenburg,Llama-2-13b-hf,52,no_competitor,4.28011,4.3550916,1.0,0.02702702702702703,-1.5590906,-5.9976482,5.9540223999999995,5.3506018,195.55043750000002,16,0.0,0.0,0.025,10.681962461359634,38,233.3517847,15,209.34541480000001,0.0,15,108.36901513667695,9.392641151104504,31
United Kingdom,London,Birmingham,Llama-2-13b-hf,53,no_competitor,4.5593863,4.461947,1.0,1.0,-1.9334074,-1.617184,6.1674956000000005,5.65711,200.5979856,21,4.0561856,3.1600752000000005,0.425,15.333120714493608,16,180.3830148,15,129.85147419999998,26.947850700000007,15,131.436389641407,37.278063368409974,21
Arizona,Phoenix,Tucson,Llama-2-13b-hf,54,no_competitor,4.0697646,4.5622687,1.0,0.16666666666666666,-1.3491372,-3.7931232,6.4269278,3.0540953,185.2246438,21,7.160302000000001,6.704868,0.5,13.676820979033675,20,233.53408280000002,15,125.3666115,80.9731121,15,142.5384228008569,66.99739135426701,21
Colorado,Denver,Colorado Springs,Llama-2-13b-hf,55,no_competitor,4.506215,4.584642,1.0,0.2,-1.89807,-3.7202535,3.3947270000000005,1.2339785,183.42571654,31,0.6480575000000002,0.6480575000000002,0.45,16.44645374872442,20,179.59571409,20,109.73939871,0.9631915000000006,4,79.92577916859553,21.03217387040395,33
Georgia,Atlanta,Augusta,Llama-2-13b-hf,56,no_competitor,4.6640053,4.7269845,0.09090909090909091,0.030303030303030304,-4.1743135,-5.8016386,5.3913875,3.1387383999999994,199.2752501,11,3.7141230000000007,3.142856,0.375,4.41466910873374,22,265.6608091,20,133.0313734,28.613680000000002,20,121.29319960365663,31.821616793531028,20
Hawaii,Honolulu,Hilo,Llama-2-13b-hf,57,no_competitor,4.432028,5.1873283,1.0,0.018518518518518517,-1.4488007,-6.292735,5.447050900000001,-0.14669500000000024,184.0895672,22,5.079112,3.5082473000000007,0.525,12.601398369860348,38,232.60536115,4,96.82924405,47.98943730000001,22,119.1288356530903,42.194347566623904,22
Idaho,Boise,Meridian,Llama-2-13b-hf,58,no_competitor,3.8705468,5.328876,1.0,0.004405286343612335,-1.1957518,-7.997507,8.0086722,3.891762000000001,198.05152950000002,34,2.040165000000001,1.1668015,0.325,6.27986974929647,34,273.94517154,34,149.74695746,14.0314345,34,150.90797525111185,21.080944180452022,34
Massachusetts,Boston,Worcester,Llama-2-13b-hf,59,no_competitor,4.348852,4.9518228,1.0,0.3333333333333333,-1.603963,-2.7249613,6.4331130000000005,8.2072477,190.6589667,31,0.0,0.0,0.025,19.80733869674508,15,182.22565299000001,15,258.72125151,0.0,15,147.42828499222534,24.05864676037301,31
Ohio,Columbus,Cleveland,Llama-2-13b-hf,60,no_competitor,4.1664124,4.923932,1.0,0.002320185614849188,-1.3437417,-8.926147,5.0118453,-1.3737950000000003,198.15882290000002,21,4.1679615000000005,2.2497930000000004,0.55,9.171426682525098,21,272.85832128000004,21,111.62438982,36.9307222,21,82.20668514014694,17.727894095646207,31
Rhode Island,Providence,Warwick,Llama-2-13b-hf,61,no_competitor,4.07326,5.4006157,1.0,0.003436426116838488,-1.5861713,-8.291837,5.2965727,2.9262700000000006,181.8464731,22,1.0928799999999992,1.0928799999999992,0.4,13.47410610342843,27,230.90909188,20,163.87306352000002,2.7846460000000004,4,124.99917844168732,16.519068553461096,36
